ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
EDXW,medium_airport,Westerland Sylt Airport,51,EU,DE,DE-SH,Westerland,EDXW,GWT,,"8.34047031403, 54.9132003784"
EEEI,medium_airport,Ämari Air Base,65,EU,EE,EE-37,Keila,EEEI,,,"24.208499908447266, 59.26029968261719"
EEKA,medium_airport,Kärdla Airport,18,EU,EE,EE-39,Kärdla,EEKA,KDL,,"22.830699920654297, 58.99079895019531"
EEKE,medium_airport,Kuressaare Airport,14,EU,EE,EE-74,Kuressaare,EEKE,URE,,"22.50950050354004, 58.22990036010742"
EEPU,medium_airport,Pärnu Airport,47,EU,EE,EE-67,Pärnu,EEPU,EPU,,"24.47279930114746, 58.41899871826172"
EETN,large_airport,Lennart Meri Tallinn Airport,131,EU,EE,EE-37,Tallinn,EETN,TLL,,"24.832799911499997, 59.41329956049999"
EETU,medium_airport,Tartu Airport,219,EU,EE,EE-7B,Tartu,EETU,TAY,,"26.690399169900004, 58.3074989319"
EGAA,large_airport,Belfast International Airport,268,EU,GB,GB-NIR,Belfast,EGAA,BFS,,"-6.2158298492399995, 54.6575012207"
EGAB,medium_airport,St Angelo Airport,155,EU,GB,GB-NIR,Enniskillen,EGAB,ENK,,"-7.651669979095459, 54.39889907836914"
EGAC,large_airport,George Best Belfast City Airport,15,EU,GB,GB-NIR,Belfast,EGAC,BHD,,"-5.872499942779541, 54.618099212646484"
EGAE,medium_airport,City of Derry Airport,22,EU,GB,GB-NIR,Derry,EGAE,LDY,,"-7.161109924316406, 55.04280090332031"
EGBB,large_airport,Birmingham International Airport,327,EU,GB,GB-ENG,Birmingham,EGBB,BHX,,"-1.74802994728, 52.453899383499994"
EGBE,medium_airport,Coventry Airport,267,EU,GB,GB-ENG,Coventry,EGBE,CVT,,"-1.4797199964499999, 52.3697013855"
EGBJ,medium_airport,Gloucestershire Airport,101,EU,GB,GB-ENG,Staverton,EGBJ,GLO,,"-2.167220115661621, 51.89419937133789"
EGBN,medium_airport,Nottingham Airport,138,EU,GB,GB-ENG,Nottingham,EGBN,NQT,,"-1.0791699886322021, 52.91999816894531"
EGCC,large_airport,Manchester Airport,257,EU,GB,GB-ENG,Manchester,EGCC,MAN,,"-2.2749500274658203, 53.35369873046875"
EGCN,large_airport,Robin Hood Doncaster Sheffield Airport,55,EU,GB,GB-ENG,Doncaster,EGCN,DSA,,"-1.01065635681, 53.4805378105"
EGDC,medium_airport,Royal Marines Base Chivenor Airport,27,EU,GB,GB-ENG,Chivenor,EGDC,,,"-4.1503400802612305, 51.08720016479492"
EGDM,medium_airport,MoD Boscombe Down Airport,407,EU,GB,GB-ENG,Amesbury,EGDM,,,"-1.7474100589752197, 51.152198791503906"
EGDR,medium_airport,RNAS Culdrose,267,EU,GB,GB-ENG,Helston,EGDR,,,"-5.255710124969482, 50.08610153198242"
EGDX,medium_airport,St. Athan Airport,163,EU,GB,GB-WLS,St. Athan,EGSY,,,"-3.43575, 51.4048"
EGDY,medium_airport,RNAS Yeovilton,75,EU,GB,GB-ENG,Yeovil,EGDY,YEO,,"-2.638819932937622, 51.0093994140625"
EGEC,medium_airport,Campbeltown Airport,42,EU,GB,GB-SCT,Campbeltown,EGEC,CAL,,"-5.686389923095703, 55.437198638916016"
EGED,medium_airport,Eday Airport,10,EU,GB,GB-SCT,Eday,EGED,EOI,,"-2.7722198963165283, 59.19060134887695"
EGEF,medium_airport,Fair Isle Airport,223,EU,GB,GB-SCT,Fair Isle,EGEF,FIE,,"-1.628059983253479, 59.53580093383789"
